,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,4days,7days
0,Fendi,stripe pattern two way bucket bag brown,a1142679,2021-01-13,2021-01-14,7days,BA,Y,49000,59000
1,Fendi,stripe pattern two way bucket bag brown,a1151466,2021-03-31,2021-03-31,7days,BA,Y,49000,59000
2,Fendi,stripe pattern two way bucket bag brown,a1110964,2020-08-10,2021-03-15,4days,BA,N,49000,59000
3,Gucci,flap cross bag black,a1141099,2021-01-04,2021-01-13,4days,BA,Y,49000,59000
4,Gucci,flap cross bag black,a1151181,2021-03-28,2021-03-31,7days,BA,Y,49000,59000
5,Gucci,flap cross bag black,a1150885,2021-03-26,2021-03-26,7days,BA,Y,49000,59000
6,Gucci,flap cross bag black,a1150521,2021-03-23,2021-03-24,4days,BA,Y,49000,59000
7,Gucci,flap cross bag black,a1149522,2021-03-15,2021-03-16,4days,BA,Y,49000,59000
8,Gucci,flap cross bag black,a1148298,2021-03-05,2021-03-10,7days,BA,Y,49000,59000
9,Gucci,flap cross bag black,a1146005,2021-02-10,2021-03-03,4days,BA,Y,49000,59000
10,Yves Saint Laurent,collège medium cross bag,a189110,2020-03-19,2021-01-11,4days,BA,Y,49000,59000
11,Yves Saint Laurent,collège medium cross bag,a1122447,2020-10-04,2021-02-18,7days,BA,Y,49000,59000
12,Yves Saint Laurent,collège medium cross bag,a1145238,2021-02-02,2021-02-03,7days,BA,Y,49000,59000
13,Louis Vuitton,alma epi pm tote bag black,a1141816,2021-01-09,2021-01-09,7days,BA,Y,39000,49000
14,Louis Vuitton,alma epi pm tote bag black,a178166,2020-01-29,2021-01-21,7days,BA,Y,39000,49000
15,Louis Vuitton,alma epi pm tote bag black,a1144425,2021-01-25,2021-02-09,4days,BA,Y,39000,49000
16,Louis Vuitton,alma epi pm tote bag black,a1149760,2021-03-17,2021-03-18,7days,BA,Y,39000,49000
17,Louis Vuitton,alma epi pm tote bag black,a1149746,2021-03-17,2021-03-17,4days,BA,Y,39000,49000
18,Gucci,ophidia small black,a1141468,2021-01-07,2021-01-08,4days,BA,Y,39000,49000
19,Gucci,ophidia small black,a1139870,2020-12-25,2021-01-18,4days,BA,Y,39000,49000
20,Louis Vuitton,monogram clutch brown,a1141530,2021-01-07,2021-01-07,7days,BA,Y,49000,59000
21,Louis Vuitton,monogram clutch brown,a1141530,2021-01-07,2021-01-07,7days,BA,Y,49000,59000
22,Louis Vuitton,monogram clutch brown,a1138863,2020-12-21,2021-01-18,7days,BA,Y,49000,59000
23,Louis Vuitton,monogram clutch brown,a1138863,2020-12-21,2021-01-18,7days,BA,Y,49000,59000
24,Louis Vuitton,monogram clutch brown,a1147385,2021-02-24,2021-02-24,7days,BA,Y,49000,59000
25,Louis Vuitton,monogram clutch brown,a1147385,2021-02-24,2021-02-24,7days,BA,Y,49000,59000
26,Louis Vuitton,monogram clutch brown,a1150091,2021-03-20,2021-03-25,4days,BA,Y,49000,59000
27,Louis Vuitton,monogram clutch brown,a1150091,2021-03-20,2021-03-25,4days,BA,Y,49000,59000
28,Louis Vuitton,monogram clutch brown,a1150711,2021-03-24,2021-03-24,7days,BA,Y,49000,59000
29,Louis Vuitton,monogram clutch brown,a1150711,2021-03-24,2021-03-24,7days,BA,Y,49000,59000
30,Louis Vuitton,monogram clutch brown,a1118030,2020-09-05,2021-03-20,4days,BA,Y,49000,59000
31,Louis Vuitton,monogram clutch brown,a1118030,2020-09-05,2021-03-20,4days,BA,Y,49000,59000
32,Louis Vuitton,monogram clutch brown,a1148708,2021-03-09,2021-03-09,4days,BA,Y,49000,59000
33,Louis Vuitton,monogram clutch brown,a1148708,2021-03-09,2021-03-09,4days,BA,Y,49000,59000
34,Gucci,marmont gg logo quilted bag Black 2,a1145022,2021-01-31,2021-01-31,7days,BA,Y,49000,59000
35,Gucci,marmont gg logo quilted bag Black 2,a149897,2019-10-22,2021-01-20,7days,BA,Y,49000,59000
36,Gucci,marmont gg logo quilted bag Black 2,a177034,2020-01-23,2021-03-01,4days,BA,Y,49000,59000
37,Chanel,quilted leather clutch bag,a1144959,2021-01-30,2021-01-30,7days,BA,Y,49000,59000
38,Louis Vuitton,monogram canvas clutch bag,a1140387,2020-12-29,2021-01-28,7days,BA,Y,49000,59000
39,Louis Vuitton,monogram canvas clutch bag,a13741,2018-03-20,2021-03-31,4days,BA,Y,49000,59000
40,Fendi,by the way small black,a1144653,2021-01-27,2021-01-28,4days,BA,Y,49000,59000
41,Chanel,zipper detail bucket tote bag,a1144766,2021-01-28,2021-01-28,4days,BA,Y,49000,59000
42,Chanel,zipper detail bucket tote bag,a1146535,2021-02-16,2021-02-16,4days,BA,Y,49000,59000
43,Chanel,zipper detail bucket tote bag,a1102098,2020-05-29,2021-02-04,4days,BA,Y,49000,59000
44,Celine,trapeze tote bag black,a1142968,2021-01-14,2021-01-25,4days,BA,Y,34000,44000
45,Gucci,dionysos velvet chain shoulder bag navy,a1143759,2021-01-19,2021-01-25,7days,BA,Y,49000,59000
46,Gucci,dionysos velvet chain shoulder bag navy,a1147337,2021-02-24,2021-02-24,4days,BA,Y,49000,59000
47,Gucci,dionysos velvet chain shoulder bag navy,a1146300,2021-02-13,2021-02-13,7days,BA,Y,49000,59000
48,Gucci,dionysos velvet chain shoulder bag navy,a1150835,2021-03-25,2021-03-25,7days,BA,Y,49000,59000
49,Gucci,dionysos velvet chain shoulder bag navy,a1137244,2020-12-15,2021-03-11,7days,BA,Y,49000,59000
50,Gucci,vintage web GG backpack,a1144267,2021-01-24,2021-01-24,7days,BA,Y,49000,59000
51,Gucci,vintage web GG backpack,a1149774,2021-03-17,2021-03-18,4days,BA,Y,49000,59000
52,Saint Laurent,chevron clutch black,a1144042,2021-01-22,2021-01-22,7days,BA,Y,49000,59000
53,Saint Laurent,chevron clutch black,a1135815,2020-12-08,2021-01-20,7days,BA,Y,49000,59000
54,Saint Laurent,chevron clutch black,a1147522,2021-02-25,2021-02-25,4days,BA,Y,49000,59000
55,Saint Laurent,chevron clutch black,a1106884,2020-07-01,2021-02-24,4days,BA,Y,49000,59000
56,Delvaux,brillant GM satchel bag,a111461,2018-11-14,2021-01-21,4days,BA,Y,59000,69000
57,Delvaux,brillant GM satchel bag,a154665,2019-11-08,2021-02-19,4days,BA,Y,59000,69000
58,Delvaux,brillant GM satchel bag,a1150699,2021-03-24,2021-03-25,7days,BA,Y,59000,69000
59,Delvaux,brillant GM satchel bag,a1147276,2021-02-23,2021-03-04,7days,BA,Y,59000,69000
60,Prada,quilted chain shoulder bag black,a152462,2019-10-30,2021-01-18,4days,BA,Y,49000,59000
61,Chanel,quilted chain shoulder bag black,a195790,2020-04-13,2021-02-24,4days,BA,Y,49000,59000
62,Gucci,monogram strap cross bag brown,a1147383,2021-02-24,2021-02-26,7days,BA,Y,49000,59000
63,Gucci,monogram strap cross bag brown,a1150376,2021-03-22,2021-03-25,7days,BA,Y,49000,59000
64,Gucci,microssima emily shoulder bag black,a1147335,2021-02-23,2021-02-25,7days,BA,Y,49000,59000
65,Gucci,microssima emily shoulder bag black,a1150589,2021-03-23,2021-03-24,4days,BA,Y,49000,59000
66,Gucci,GG marmont belt bag black,a1147477,2021-02-25,2021-02-25,4days,BA,Y,49000,59000
67,Gucci,GG marmont belt bag black,a1147477,2021-02-25,2021-02-25,4days,BA,Y,49000,59000
68,Gucci,GG marmont belt bag black,a1150346,2021-03-22,2021-03-22,4days,BA,Y,49000,59000
69,Gucci,GG marmont belt bag black,a1150346,2021-03-22,2021-03-22,4days,BA,Y,49000,59000
70,Gucci,GG marmont belt bag black,a1148717,2021-03-09,2021-03-12,4days,BA,Y,49000,59000
71,Gucci,GG marmont belt bag black,a1148717,2021-03-09,2021-03-12,4days,BA,Y,49000,59000
72,Chanel,classic clutch black,a157063,2019-11-19,2021-02-24,4days,BA,Y,49000,59000
73,Chanel,classic clutch black,a157063,2019-11-19,2021-02-24,4days,BA,Y,39000,49000
74,Chanel,classic clutch black,a157063,2019-11-19,2021-02-24,4days,BA,Y,49000,59000
75,Chanel,classic clutch black,a1147280,2021-02-23,2021-02-23,4days,BA,Y,49000,59000
76,Chanel,classic clutch black,a1147280,2021-02-23,2021-02-23,4days,BA,Y,39000,49000
77,Chanel,classic clutch black,a1147280,2021-02-23,2021-02-23,4days,BA,Y,49000,59000
78,Chanel,classic clutch black,a145138,2019-10-04,2021-02-13,7days,BA,Y,49000,59000
79,Chanel,classic clutch black,a145138,2019-10-04,2021-02-13,7days,BA,Y,39000,49000
80,Chanel,classic clutch black,a145138,2019-10-04,2021-02-13,7days,BA,Y,49000,59000
81,Chanel,classic clutch black,a1145073,2021-02-01,2021-02-04,4days,BA,Y,49000,59000
82,Chanel,classic clutch black,a1145073,2021-02-01,2021-02-04,4days,BA,Y,39000,49000
83,Chanel,classic clutch black,a1145073,2021-02-01,2021-02-04,4days,BA,Y,49000,59000
84,Chanel,classic clutch black,a1145436,2021-02-04,2021-02-04,7days,BA,Y,49000,59000
85,Chanel,classic clutch black,a1145436,2021-02-04,2021-02-04,7days,BA,Y,39000,49000
86,Chanel,classic clutch black,a1145436,2021-02-04,2021-02-04,7days,BA,Y,49000,59000
87,Chanel,classic clutch black,a1151106,2021-03-28,2021-03-31,4days,BA,Y,49000,59000
88,Chanel,classic clutch black,a1151106,2021-03-28,2021-03-31,4days,BA,Y,39000,49000
89,Chanel,classic clutch black,a1151106,2021-03-28,2021-03-31,4days,BA,Y,49000,59000
90,Chanel,classic clutch black,a1146521,2021-02-15,2021-03-25,7days,BA,N,49000,59000
91,Chanel,classic clutch black,a1146521,2021-02-15,2021-03-25,7days,BA,N,39000,49000
92,Chanel,classic clutch black,a1146521,2021-02-15,2021-03-25,7days,BA,N,49000,59000
93,Chanel,classic clutch black,a1105909,2020-06-24,2021-03-24,4days,BA,Y,49000,59000
94,Chanel,classic clutch black,a1105909,2020-06-24,2021-03-24,4days,BA,Y,39000,49000
95,Chanel,classic clutch black,a1105909,2020-06-24,2021-03-24,4days,BA,Y,49000,59000
96,Chanel,classic clutch black,a1149788,2021-03-17,2021-03-17,4days,BA,Y,49000,59000
97,Chanel,classic clutch black,a1149788,2021-03-17,2021-03-17,4days,BA,Y,39000,49000
98,Chanel,classic clutch black,a1149788,2021-03-17,2021-03-17,4days,BA,Y,49000,59000
99,Chanel,classic clutch black,a1148370,2021-03-06,2021-03-09,7days,BA,Y,49000,59000
100,Chanel,classic clutch black,a1148370,2021-03-06,2021-03-09,7days,BA,Y,39000,49000
101,Chanel,classic clutch black,a1148370,2021-03-06,2021-03-09,7days,BA,Y,49000,59000
102,Chanel,classic clutch black,a192716,2020-04-02,2021-03-09,4days,BA,Y,49000,59000
103,Chanel,classic clutch black,a192716,2020-04-02,2021-03-09,4days,BA,Y,39000,49000
104,Chanel,classic clutch black,a192716,2020-04-02,2021-03-09,4days,BA,Y,49000,59000
105,Chanel,classic clutch black,a1148485,2021-03-07,2021-03-08,7days,BA,Y,49000,59000
106,Chanel,classic clutch black,a1148485,2021-03-07,2021-03-08,7days,BA,Y,39000,49000
107,Chanel,classic clutch black,a1148485,2021-03-07,2021-03-08,7days,BA,Y,49000,59000
108,Gucci,dionysus cross bag green,a1147181,2021-02-22,2021-02-22,4days,BA,Y,39000,49000
109,Gucci,dionysus cross bag green,a1150214,2021-03-21,2021-03-21,4days,BA,N,39000,49000
110,Gucci,dionysus cross bag green,a1102582,2020-05-31,2021-03-08,4days,BA,Y,39000,49000
111,Gucci,marmont gg logo quilted bag Black,a1147123,2021-02-21,2021-02-22,4days,BA,N,39000,49000
112,Gucci,marmont gg logo quilted bag Black,a1143565,2021-01-17,2021-02-04,4days,BA,Y,39000,49000
113,Gucci,marmont gg logo quilted bag Black,a1145191,2021-02-02,2021-02-02,4days,BA,Y,39000,49000
114,Gucci,marmont gg logo quilted bag Black,a1150157,2021-03-20,2021-03-23,7days,BA,Y,39000,49000
115,Gucci,unique vintage web mini cross bag,a1146554,2021-02-16,2021-02-18,7days,BA,Y,39000,49000
116,Gucci,unique vintage web mini cross bag,a1150597,2021-03-24,2021-03-25,7days,BA,Y,39000,49000
117,Louis Vuitton,verni mini clutch chain bag black,a1145662,2021-02-06,2021-02-17,4days,BA,Y,39000,49000
118,Louis Vuitton,verni mini clutch chain bag black,a1151301,2021-03-29,2021-03-31,4days,BA,Y,39000,49000
119,Louis Vuitton,verni mini clutch chain bag black,a1149970,2021-03-19,2021-03-19,4days,BA,Y,39000,49000
120,Valentino,rockstud tote bag black,a1146728,2021-02-17,2021-02-17,4days,BA,Y,39000,49000
121,Valentino,rockstud tote bag black,a1149671,2021-03-16,2021-03-16,7days,BA,Y,39000,49000
122,Louis Vuitton,damier ebene cross bag brown,a1146602,2021-02-16,2021-02-17,4days,BA,Y,39000,49000
123,Chanel,matelasse mademoiselle clutch bag black,a1146652,2021-02-17,2021-02-17,7days,BA,Y,39000,49000
124,Chanel,matelasse mademoiselle clutch bag black,a1150734,2021-03-24,2021-03-25,7days,BA,Y,39000,49000
125,Chanel,matelasse mademoiselle clutch bag black,a191314,2020-03-28,2021-03-08,7days,BA,Y,39000,49000
126,Louis Vuitton,verni clutch chain bag pink,a1146297,2021-02-13,2021-02-16,4days,BA,Y,49000,59000
127,Louis Vuitton,verni clutch chain bag pink,a1145051,2021-01-31,2021-02-02,4days,BA,Y,49000,59000
128,Rimowa,topaz 52.,a1146589,2021-02-16,2021-02-16,7days,BA,Y,39000,49000
129,Fendi,regular 2jours black,a1145924,2021-02-09,2021-02-10,4days,BA,Y,49000,59000
130,Louis Vuitton,favorite MM shoulder bag,a1145908,2021-02-09,2021-02-09,7days,BA,Y,59000,69000
131,Louis Vuitton,favorite MM shoulder bag,a1151129,2021-03-28,2021-03-29,7days,BA,Y,59000,69000
132,Louis Vuitton,favorite MM shoulder bag,a1149547,2021-03-16,2021-03-16,7days,BA,Y,59000,69000
133,Louis Vuitton,logo enamel clutch black,a1145082,2021-02-01,2021-02-08,4days,BA,Y,49000,59000
134,Gucci,GG supreme clutch brown,a156051,2019-11-14,2021-02-08,4days,BA,Y,49000,59000
135,Gucci,GG supreme clutch brown,a1151499,2021-03-31,2021-03-31,4days,BA,Y,49000,59000
136,Gucci,GG marmont shoulder bag pink,a1145762,2021-02-07,2021-02-07,7days,BA,Y,49000,59000
137,Fendi,3jours two way bag beige,a1145641,2021-02-06,2021-02-06,4days,BA,Y,49000,59000
138,Fendi,monogram zucchino shoulder bag,a1145478,,2021-02-04,4days,BA,N,39000,49000
139,Miu Miu,matelasse shoulder bag black,a1145170,2021-02-02,2021-02-03,7days,BA,Y,39000,49000
140,Miu Miu,matelasse shoulder bag black,a1149914,2021-03-18,2021-03-18,4days,BA,Y,39000,49000
141,Louis Vuitton,verni mini clutch chain bag brown,a1145144,2021-02-01,2021-02-02,4days,BA,Y,39000,49000
142,Louis Vuitton,verni mini clutch chain bag brown,a1150577,2021-03-23,2021-03-23,7days,BA,Y,39000,49000
143,Louis Vuitton,verni mini clutch chain bag brown,a1138484,2020-12-20,2021-03-09,7days,BA,Y,39000,49000
144,Chanel,Tote beige bag,a1136536,2020-12-11,2021-03-30,7days,BA,Y,49000,59000
145,Chanel,Tote beige bag,a1149929,2021-03-18,2021-03-19,7days,BA,Y,49000,59000
146,Balenciaga,ville logo bag green,a1150992,2021-03-27,2021-03-29,4days,BA,Y,49000,59000
147,Louis Vuitton,thames hobo shoulder bag brown,a1150260,2021-03-21,2021-03-28,7days,BA,Y,39000,49000
148,Celine,trio bag black,a1150762,2021-03-25,2021-03-26,7days,BA,Y,49000,59000
149,Gucci,GG marmont belt bag bluegreen,a1150246,2021-03-21,2021-03-23,7days,BA,Y,49000,59000
150,Gucci,GG marmont belt bag bluegreen,a1147245,2021-02-23,2021-03-06,7days,BA,Y,49000,59000
151,Gucci,GG marmont cross bag bluegreen,a1149664,2021-03-16,2021-03-23,7days,BA,Y,49000,59000
152,Gucci,mamont chain cross body bag black,a1147249,2021-02-23,2021-03-22,7days,BA,Y,39000,49000
153,Fendi,pattern hobo chain bag gray,a1149889,2021-03-18,2021-03-21,4days,BA,Y,39000,49000
154,Hermes,fabric fourre tout MM tote bag,a197203,2020-04-19,2021-03-18,7days,BA,N,39000,49000
155,Louis Vuitton,studded shoulder bag black,a1123025,2020-10-07,2021-03-18,7days,BA,Y,39000,49000
156,Chanel,chevron quilted clutch bag black,a1149790,2021-03-17,2021-03-18,7days,BA,Y,49000,59000
157,Gucci,monogram backpack brown,a1149535,2021-03-16,2021-03-16,7days,BA,N,49000,59000
158,Gucci,GG soho chain clutch bag black,a1147854,2021-02-28,2021-03-09,4days,BA,Y,49000,59000
