,Brands,Items,4days,7days
0,LOUIS VUITTON,monogram speedy 40 mini tote bag brown,49000,59000
1,FENDI,rogo buckle baguette bag brown,39000,49000
2,GUCCI,quilted mammont chain cross bag black,49000,59000
3,GUCCI,flower pattern clutch bag,49000,59000
4,CHANEL,classic clutch black,49000,59000
5,GUCCI,CG pattern cross bag brown,49000,59000
6,GUCCI,square shape cross bag black,49000,59000
7,GUCCI,Mamont clutch black bag,49000,59000
8,LOUIS VUITTON,square shape shoulder bag brown,49000,59000
9,GUCCI,mamont chain cross body bag gray,39000,49000
10,LOUIS VUITTON,monogram clutch bag brown,49000,59000
11,FENDI,monogram zucca tote bag brown,49000,59000
12,CHANEL,Quilted anamel red clutch,49000,59000
13,LOUIS VUITTON,Enamel tote bag dark brown,49000,59000
14,CHANEL,Tote beige bag,49000,59000
15,CHANEL,matelasse mademoiselle clutch bag black,39000,49000
16,CHANEL,mademoiselle chevron clutch bag black,49000,59000
17,FENDI,regular 2jours skyblue,49000,59000
18,LOUIS VUITTON,alma epi tote bag purple,49000,59000
19,GUCCI,mamont chain cross bag red,49000,59000
20,CHANEL,chevron quilted clutch bag black,49000,59000
21,GUCCI,GC rogo pattern superem tote bag brown,39000,49000
22,CHANEL,classic clutch black,39000,49000
23,LOUIS VUITTON,epi classic two way bag deepblue,49000,59000
24,DELVAUX,bucket cross bag black,49000,59000
25,GUCCI,vivid stripe pattern tote bag ivory,49000,59000
26,GUCCI,mammont fabric clutch bag black,39000,49000
27,GUCCI,flap cross bag black,49000,59000
28,LOUIS VUITTON,monogram clutch brown,49000,59000
29,FENDI,3jours two way bag beige,49000,59000
30,LOUIS VUITTON,studded shoulder bag black,39000,49000
31,LOUIS VUITTON,monogram clutch brown,49000,59000
32,SAINT LAURENT,Monogram blogger mini black bag,49000,59000
33,CHANEL,classic clutch black,49000,59000
34,DELVAUX,presse a5 clutch red,49000,59000
35,FENDI,stripe pattern two way bucket bag brown,49000,59000
36,GUCCI,GG marmont cross bag bluegreen,49000,59000
37,GUCCI,classic two way bag grey,49000,59000
38,GUCCI,mamont chain cross body bag red,49000,59000
39,GUCCI,dionysos velvet chain shoulder bag navy,49000,59000
40,SAINT LAURENT,finger patch two way bag red,39000,49000
41,GUCCI,GG supreme clutch brown,49000,59000
42,GUCCI,monogram backpack brown,49000,59000
43,LOUIS VUITTON,verni clutch chain bag pink,49000,59000
44,CELINE,buckle detail top handle tote bag brown,49000,59000
45,BALENCIAGA,ville logo bag green,49000,59000
46,GUCCI,butterfly tote bag,49000,59000
47,GUCCI,GG marmont belt bag black,49000,59000
48,LOUIS VUITTON,multi color tote bag,49000,59000
49,YVES SAINT LAURENT,muze bag black,39000,49000
50,GUCCI,bamboo detail shoulder bag black,49000,59000
51,FENDI,pattern hobo chain bag gray,39000,49000
52,GUCCI,tassel detail logo cross bag black,49000,59000
53,SAINT LAURENT,chevron clutch black,49000,59000
54,LOUIS VUITTON,vernis roxbury drive brown,49000,59000
55,LOUIS VUITTON,Monogram eclipse pochette apollo black clutch bag,49000,59000
56,GUCCI,monogram strap cross bag brown,49000,59000
57,GUCCI,Jacquard tote brown bag,39000,49000
58,GUCCI,GG marmont belt bag bluegreen,49000,59000
59,YVES SAINT LAURENT,monogram clutch red,49000,59000
60,CHANEL,quilted leather clutch bag,49000,59000
61,GUCCI,GG marmont shoulder bag pink,49000,59000
62,FENDI,ff logo monogram tote bag beige,49000,59000
63,CHANEL,quilted chain shoulder bag black,49000,59000
64,FENDI,ff logo point cross bag red,49000,59000
65,LOUIS VUITTON,logo enamel clutch black,49000,59000
66,LOUIS VUITTON,epi classic two way bag black,49000,59000
67,LOUIS VUITTON,batignolles tote bag,49000,59000
68,FENDI,by the way small black,49000,59000
69,FENDI,unique three color pouch,49000,59000
70,GUCCI,disco cross bag silver,49000,59000
71,FENDI,regular 2jours black,49000,59000
72,LOUIS VUITTON,verni monogram tote bag red,49000,59000
73,FENDI,monogram zucchino shoulder bag,39000,49000
74,LOUIS VUITTON,epi clutch red,39000,49000
75,YVES SAINT LAURENT,cubic detail fabric clutch black,49000,59000
76,GUCCI,GG marmont belt bag black,49000,59000
77,GUCCI,mamont chain cross body bag black,39000,49000
78,LOUIS VUITTON,thames hobo shoulder bag brown,39000,49000
79,PRADA,inside bag beige & pink,39000,49000
80,GUCCI,GG marmont belt bag red,39000,49000
81,LOUIS VUITTON,monogram saumur,39000,49000
82,LOUIS VUITTON,damier ebene cross bag brown,39000,49000
83,GUCCI,microssima emily shoulder bag black,49000,59000
84,SAINT LAURENT,monogram clutch silver,39000,49000
85,GUCCI,GG soho chain clutch bag black,49000,59000
86,SAINT LAURENT,monogram clutch pink,39000,49000
87,CHANEL,classic enamel clutch black,49000,59000
88,GUCCI,horse bit tote monogram bag,39000,49000
89,LOUIS VUITTON,alma epi pm handbag brown,39000,49000
90,CELINE,edge bag white & black,49000,59000
91,FONTANA,diamond pattern tote bag brown,39000,49000
92,BALENCIAGA,clip clutch black,39000,49000
93,CELINE,trio bag black,49000,59000
94,GUCCI,marmont gg logo quilted bag Black 2,49000,59000
95,DELVAUX,brillant GM satchel bag,59000,69000
96,GUCCI,bamboo tote bag,39000,49000
97,SALVATORE FERRAGAMO,buckle detail tote bag black,39000,49000
98,LOUIS VUITTON,favorite MM shoulder bag,59000,69000
99,YVES SAINT LAURENT,collège medium cross bag,49000,59000
100,GUCCI,tote bag gray,49000,59000
101,GUCCI,loved medium backpack,59000,69000
102,LOUIS VUITTON,monogram canvas clutch bag,49000,59000
103,GUCCI,marmont gg logo quilted bag Black,39000,49000
104,HERMES,fabric fourre tout MM tote bag,39000,49000
105,VALENTINO,rockstud tote bag black,39000,49000
106,FENDI,by the way small multi,49000,59000
107,CELINE,trapeze tote bag black,34000,44000
108,RIMOWA,topaz 52.,39000,49000
109,TRAVEL MATE,innovator 20in blue,34000,44000
110,CHANEL,tassel hobo bag,49000,59000
111,TRAVEL MATE,dalvik 20 in green,34000,44000
112,TRAVEL MATE,siffler grip master 19in dark&red,34000,44000
113,LOUIS VUITTON,verni mini clutch chain bag brown,39000,49000
114,TRAVEL MATE,clunny tsa 20 in yellow,34000,44000
115,TRAVEL MATE,antler prism 21in,34000,44000
116,TRAVEL MATE,BG berlin zip2 plus TSA 21in,34000,44000
117,TRAVEL MATE,chester ??20in beige,34000,44000
118,LOUIS VUITTON,verni mini clutch chain bag black,39000,49000
119,TRAVEL MATE,jadine TSA 20 in,34000,44000
120,GUCCI,unique vintage web mini cross bag,39000,49000
121,LOUIS VUITTON,monogram speedy tote bag brown,39000,49000
122,GUCCI,vintage web GG backpack,49000,59000
123,LOUIS VUITTON,alma epi pm tote bag black,39000,49000
124,GUCCI,ophidia small black,39000,49000
125,MIU MIU,matelasse shoulder bag black,39000,49000
126,GUCCI,dionysus cross bag green,39000,49000
127,CHANEL,zipper detail bucket tote bag,49000,59000
128,CELINE,trio L pink,49000,59000
