,review,cleaning
49,1. 이용권 구매를 결정하기 위해 옷을 보는데 이용권 사라는 팝업이 가로막고 안사면 못봄 2. 옷을 이것저것 보고 싶은데 뒤로가기만 하면 홈으로 감 3. 잠깐 다른 앱에서 뭐 하고 와도 재구동+홈으로 감 4. 한 아이템 보고 돌아오면 리스트 최상위로 돌아가있음 5. 광고 팝업 오늘은 그만보기 아무리 눌러도 꺼지지도 않음 앱이 너무 쓰기 힘들어서 화가 나서 매번 도전에 실패하네요,1이용권구매를결정하기위해옷을보는데이용권사라는팝업이가로막고안사면못봄2옷을이것저것보고싶은데뒤로가기만하면홈으로감3잠깐다른앱에서뭐하고와도재구동홈으로감4한아이템보고돌아오면리스트최상위로돌아가있음5광고팝업오늘은그만보기아무리눌러도꺼지지도않음앱이너무쓰기힘들어서화가나서매번도전에실패하네요
50,결혼식한번갈려고 옷을사기엔 부담이였는데 저렴한가격에 다양한 옷이랑 가방을 대여할수있어서 넘좋았어요 ^^,결혼식한번갈려고옷을사기엔부담이였는데저렴한가격에다양한옷이랑가방을대여할수있어서넘좋았어요
51,"의도가 정말 좋아요. 합리적인 가격에 옷을 구매가 아니라 대여 할 수 있어서 더 다양하게, 사기에는 부담스러웠던 옷등을 입을 수 있어서 좋습니다. 그렇지만 이 점도 사용을 할 수 있어야 좋은 거죠ㅠ 영상이 많아서인지 로딩이 너무 느립니다. 한번 들어가면 계속 기다려야 하고 공지를 지우다가 엉뚱한 옷을 클릭하게되고, 나가느라 또 로딩이 걸리고. 악순환의 반복입니다. 거기에 렉도 너무 많아서 사용하기가 꺼려집니다. 이런 점이 개선되면 좋을 것 같습니다. 현재로서는 사용하기 힘들고 스트레스받아 안들어가게 됩닏다:(",의도가정말좋아요합리적인가격에옷을구매가아니라대여할수있어서더다양하게사기에는부담스러웠던옷등을입을수있어서좋습니다그렇지만이점도사용을할수있어야좋은거죠ㅠ영상이많아서인지로딩이너무느립니다한번들어가면계속기다려야하고공지를지우다가엉뚱한옷을클릭하게되고나가느라또로딩이걸리고악순환의반복입니다거기에렉도너무많아서사용하기가꺼려집니다이런점이개선되면좋을것같습니다현재로서는사용하기힘들고스트레스받아안들어가게됩닏다
52,"월정액이 다음 달로 넘어갈 때 자동 결제되는데 월정액을 끊는 방법은 없네요. 그 외에도 뒤로가기 한 번만 누르면 계속 홈 화면만 나온다거나, 옷을 색상별로 필터링 해서 보려 했는데 색상필터링 버튼만 있고 실제로는 전혀 필터링 되지 않고요, 또 다른 사람이 대여중인 옷은 대여든 구매든 가격 확인이 아예 불가능합니다. 저번 달에 월정액 한 번 결제해서 잘 쓰긴 했는데 이번 달에 자동결제되어서 깜짝 놀랐네요. 결국 1:1 상담까지 가서 결제취소해달라고 했긴 했는데 아직 응답도 없습니다. 어떻게 운영을 하는건지 모르겠네요. 앱이 너무 불친...
전체 리뷰",월정액이다음달로넘어갈때자동결제되는데월정액을끊는방법은없네요그외에도뒤로가기한번만누르면계속홈화면만나온다거나옷을색상별로필터링해서보려했는데색상필터링버튼만있고실제로는전혀필터링되지않고요또다른사람이대여중인옷은대여든구매든가격확인이아예불가능합니다저번달에월정액한번결제해서잘쓰긴했는데이번달에자동결제되어서깜짝놀랐네요결국11상담까지가서결제취소해달라고했긴했는데아직응답도없습니다어떻게운영을하는건지모르겠네요앱이너무불친전체리뷰
53,"3개월차 유저입니다 모바일 서비스기획/개발만 개선되면 정말 좋은서비스일듯. 비즈니스 모델자체는 너무 훌륭하네요. Ux와 ui가 이 좋은 서비스를 못받쳐주는게 너무나 아쉽습니다. 앱사용하는게 너무나 힘들어요 정말 오랜만에 이렇게 느리고 불편한앱을 열심히 써보네요.(전단계 페이지 못보는건 진짜 서비스기획자의 센스를 의심하고싶네요 기본아닌가요ㅠㅠ).앞서 혹평주신 분들 심정 충분히 이해갑니다만 사업자체의 매력에 3점 남깁니다. 제발좀 개선해주세요. 헤비유저로서의 애정어린 부정의견은 양해부탁드려요. 상품,마케팅,cs,비즈니스전략은 만족합니다...
전체 리뷰",3개월차유저입니다모바일서비스기획개발만개선되면정말좋은서비스일듯비즈니스모델자체는너무훌륭하네요Ux와ui가이좋은서비스를못받쳐주는게너무나아쉽습니다앱사용하는게너무나힘들어요정말오랜만에이렇게느리고불편한앱을열심히써보네요전단계페이지못보는건진짜서비스기획자의센스를의심하고싶네요기본아닌가요ㅠㅠ앞서혹평주신분들심정충분히이해갑니다만사업자체의매력에3점남깁니다제발좀개선해주세요헤비유저로서의애정어린부정의견은양해부탁드려요상품마케팅cs비즈니스전략은만족합니다전체리뷰
54,옷사서 입다보면 지겨운데 여러 의류를 입어볼수 있는 특이한 컨셉! 멤버십구입했는데 이용횟수 더 다양하게 해주시면 좀더 자주 이용할듯ㅋㅋㅋㅋ,옷사서입다보면지겨운데여러의류를입어볼수있는특이한컨셉멤버십구입했는데이용횟수더다양하게해주시면좀더자주이용할듯ㅋㅋㅋㅋ
55,몇개월째 이용중인데 옷을 정말 안사게되었어욤 사이즈 실패한게 몇번있는데 제 사이즈를 알고 나니까 사이즈 잘못고르는 일도 없네욤!!! 좋아욤,몇개월째이용중인데옷을정말안사게되었어욤사이즈실패한게몇번있는데제사이즈를알고나니까사이즈잘못고르는일도없네욤좋아욤
56,"가방을 하나 옷장에 맡기려고 보냈었는데.. 통과가 안 되어서 다시 반품되어 왔어요. 그런데 가방이 보냈을 때보다 훨씬 망가진 상태로 왔어요. 배송 중에 이런 건지 손잡이 부분 사이사이의 매듭이 다 벌어져있고 말끔했던 표면이 지저분해져있고.. 진짜 너덜너덜해서 돌아왔다는 느낌입니다. 애초에 직접 수거하겠다며 보내준 봉투가.. 그냥 검정 봉투죠? 솔직히 가방은 이런데 넣을 수 없는데.. 수거용 봉투가 너무 허술합니다. 박스나 가방 같은 것을 보내줄 거라 생각했는데.. 그런 부분에서 너무 실망했고. 중고로 팔 수도 있었던 가방을 괜히 여...
전체 리뷰",가방을하나옷장에맡기려고보냈었는데통과가안되어서다시반품되어왔어요그런데가방이보냈을때보다훨씬망가진상태로왔어요배송중에이런건지손잡이부분사이사이의매듭이다벌어져있고말끔했던표면이지저분해져있고진짜너덜너덜해서돌아왔다는느낌입니다애초에직접수거하겠다며보내준봉투가그냥검정봉투죠솔직히가방은이런데넣을수없는데수거용봉투가너무허술합니다박스나가방같은것을보내줄거라생각했는데그런부분에서너무실망했고중고로팔수도있었던가방을괜히여전체리뷰
57,앱이 너무 느려서 뭘 볼 수가 없네요. 메인페이지 로딩도 느리고 옷 더보려고 카테고리 페이지로 넘어가면 거기서 멈추다시피 합니다. BM은 참 좋은데 ux가 엉망이라 앱 받아놓고 근 1년째 한번을 제대로 못썼네요. 리텐션이 중요한 비즈니스인만큼 빨리 개선됐음 합니다.,앱이너무느려서뭘볼수가없네요메인페이지로딩도느리고옷더보려고카테고리페이지로넘어가면거기서멈추다시피합니다BM은참좋은데ux가엉망이라앱받아놓고근1년째한번을제대로못썼네요리텐션이중요한비즈니스인만큼빨리개선됐음합니다
58,일단 검색창에 검색이 잘 안됩니다... 한글로 써도 영어로 써도 대문자로 써봐도 제대로 안나오는게 너무 많아서 일일이 클릭을 해봐야한다는 점 불편합니다. 회원가입시 페북과 카톡 로그인 둘다 안되더라구요. 게다가 닉네임 겹친다고 뜨길래 닉네임만 바꿔야지 했는데 전체 창 싹 날라가구요.. 앱이 고칠게 진심 많습니다..,일단검색창에검색이잘안됩니다한글로써도영어로써도대문자로써봐도제대로안나오는게너무많아서일일이클릭을해봐야한다는점불편합니다회원가입시페북과카톡로그인둘다안되더라구요게다가닉네임겹친다고뜨길래닉네임만바꿔야지했는데전체창싹날라가구요앱이고칠게진심많습니다
59,"사이즈 관련 개선 요청드립니다 옷 디자인에 따라 작은 사이즈여도 루즈한 핏으로 나왔거나 큰사이즈여도 핏하게 나온 옷일 수 도있는데 클로젯쉐어에 업로드된 의상들을 보면 따로 품을재서 자체적 기준에 따라 사이즈를 정하고 있는것 같은데, 옷을 고르는데 혼란을 주고 객관적이지 않은 지표로 보입니다. 브랜드에서 측정한 사이즈로 개선 요청드립니다",사이즈관련개선요청드립니다옷디자인에따라작은사이즈여도루즈한핏으로나왔거나큰사이즈여도핏하게나온옷일수도있는데클로젯쉐어에업로드된의상들을보면따로품을재서자체적기준에따라사이즈를정하고있는것같은데옷을고르는데혼란을주고객관적이지않은지표로보입니다브랜드에서측정한사이즈로개선요청드립니다
60,"최악임. 옷 검수기준에 객관성이 없고, 반려사유는 요구해야 알려줌. 고객센터 연락이 잘 안됨. 유선창구는 아예 열려있지도 않음. 고객응대 최악. 이 앱에는 절대 한푼도 안쓸것임. 셰어링 거절되어 반려되는 옷들도 일주일 넘게 갖고 있다가 돌려줌.",최악임옷검수기준에객관성이없고반려사유는요구해야알려줌고객센터연락이잘안됨유선창구는아예열려있지도않음고객응대최악이앱에는절대한푼도안쓸것임셰어링거절되어반려되는옷들도일주일넘게갖고있다가돌려줌
61,월이용권 구매하여 사용하고 있는데 앱이 너무 불안정해서 정말 짜증나요 상품을 보면 페이지를 뒤로 누르는게 너무 당연한데 어떻게 된 앱인지 뒤로 두어번 누르면 아무키도 안먹혀서 결국 닫고 새로 실행해야해요 뭐하나 보려면 앱 종료하고 다시 켜기를 진짜 거짓말안하고 수십번합니다 개선이 너무 시급해보이네요,월이용권구매하여사용하고있는데앱이너무불안정해서정말짜증나요상품을보면페이지를뒤로누르는게너무당연한데어떻게된앱인지뒤로두어번누르면아무키도안먹혀서결국닫고새로실행해야해요뭐하나보려면앱종료하고다시켜기를진짜거짓말안하고수십번합니다개선이너무시급해보이네요
62,인터넷으로 항상 옷을 사입을수있다고만 생각했는데 대여해서 입을수있어서 너무 신기했는데 너무 좋아요! 옷도 고급스러워 보이고 옷도 종류별로 편하게 볼수 있게 정리되어 있어 불편감 없이 쇼핑할수 있어 만족스러워요~~!,인터넷으로항상옷을사입을수있다고만생각했는데대여해서입을수있어서너무신기했는데너무좋아요옷도고급스러워보이고옷도종류별로편하게볼수있게정리되어있어불편감없이쇼핑할수있어만족스러워요
63,다 좋은데 너무너무너무 너무어주어주 느림 답답해서 옷을 고르질 못하겠음 진짜 이 느린게 젤 큰 단점,다좋은데너무너무너무너무어주어주느림답답해서옷을고르질못하겠음진짜이느린게젤큰단점
64,"이미지가 많고 초기페이지 무거워 속도이슈있음 추천인 링크복사로 추천 버그있음 소팅 후에 상품상세보기 하고나서 뒤로돌아가면 소팅풀려있음 문의를 하면 담당자가 바뀌고 바뀔때마다 다시 처음부터 설명해야함 어플로는 가능한 기능이 극히 제한적으로, 별도문의가 필요한 부분이 다수있음",이미지가많고초기페이지무거워속도이슈있음추천인링크복사로추천버그있음소팅후에상품상세보기하고나서뒤로돌아가면소팅풀려있음문의를하면담당자가바뀌고바뀔때마다다시처음부터설명해야함어플로는가능한기능이극히제한적으로별도문의가필요한부분이다수있음
65,어플 안열려요ㅡㅡ,어플안열려요ㅡㅡ
66,"합리적이긴 하나 한번에 4벌 빌릴 수 있다 해놓고 외투는 두벌로 치는 게 좀 양아치다. 아직 셰어링을 하는 사람이 그렇게 많아보이진않는 이유가 옷의 종류 이쁜 거 진짜 많다고는 할 수 없어서고 그럼에도 이쁜 옷들이 있어서이용할 가치 정도는 있다 또 여러벌 구경 후 선택해야하는데 새창에서 열기도 안되고 위시리스트의 경우 카테고리설정해놔도 하나 클릭 후 뒤로가기 누르면 설정이 다시 초기화 되있어서 불편하다 또 검색결과를 믿을수가 없는게 검색으로 안나오는것들도 있고 매번 못봤던 옷을 발견 세탁 안해도 돼서 편하다 pc고 어플이고 오류자주...
전체 리뷰",합리적이긴하나한번에4벌빌릴수있다해놓고외투는두벌로치는게좀양아치다아직셰어링을하는사람이그렇게많아보이진않는이유가옷의종류이쁜거진짜많다고는할수없어서고그럼에도이쁜옷들이있어서이용할가치정도는있다또여러벌구경후선택해야하는데새창에서열기도안되고위시리스트의경우카테고리설정해놔도하나클릭후뒤로가기누르면설정이다시초기화되있어서불편하다또검색결과를믿을수가없는게검색으로안나오는것들도있고매번못봤던옷을발견세탁안해도돼서편하다pc고어플이고오류자주전체리뷰
67,원하는 옷 스타일을 보기 편하게 분류되어 있어서 정말 편리한 앱이에요! 다른 스타일 관련 앱들보다는 가격이 나가는 편이기는 한데 그만큼 옷이 예뻐서 좋은것 같아요~ 이앱 좋네여ㅎㅎ,원하는옷스타일을보기편하게분류되어있어서정말편리한앱이에요다른스타일관련앱들보다는가격이나가는편이기는한데그만큼옷이예뻐서좋은것같아요이앱좋네여ㅎㅎ
68,가격이 좀 있는데 사용자가 끊임 없이 대여 가능한 옷을 찾아야 해서 너무 피곤 하더군요. 이쁜 옷은 모두 대여 중.,가격이좀있는데사용자가끊임없이대여가능한옷을찾아야해서너무피곤하더군요이쁜옷은모두대여중
69,원하는 스타일의 옷들이 종류별로 구비되어 있는거 같아요~ 앱 통해서 구매도 해서 입어보고 스타일링도 비교해보고 덕분에 페션센스가 좀 늘은거 같네요.,원하는스타일의옷들이종류별로구비되어있는거같아요앱통해서구매도해서입어보고스타일링도비교해보고덕분에페션센스가좀늘은거같네요
70,옷을 보낸지가 언제인데 아직도 검수 대기중..... 한달 다 되어가네요 안 올릴거면 빨리 돌려주기라도 하든가 이건 계절 다 지나서 어디 중고로 내놓지도 못하겠고 도대체 직원이 몇이기에 이렇게 일이 느린지 모르겠습니다,옷을보낸지가언제인데아직도검수대기중한달다되어가네요안올릴거면빨리돌려주기라도하든가이건계절다지나서어디중고로내놓지도못하겠고도대체직원이몇이기에이렇게일이느린지모르겠습니다
71,오류가 너무 심하네요..회원가입 할라는데 페이지 못찾는다고 나오고 카카오계정도 이미있다고 경고문계속 뜨고 서비스 하시기전에 앱부터 제대로 만들어주세요.,오류가너무심하네요회원가입할라는데페이지못찾는다고나오고카카오계정도이미있다고경고문계속뜨고서비스하시기전에앱부터제대로만들어주세요
72,옷 빌리는곳 찾아보고 있었는데 이렇게 좋은앱을 이제야 알았다니 ㅠㅠ 진짜 너무 좋아요 강추!! 빌리는법도 편리하고 가격도 괜찮고 너무 좋은것같아요~ㅠㅠ,옷빌리는곳찾아보고있었는데이렇게좋은앱을이제야알았다니ㅠㅠ진짜너무좋아요강추빌리는법도편리하고가격도괜찮고너무좋은것같아요ㅠㅠ
73,명품을 싼값에 직접 얼굴 대면 하지 않고 빌릴수 있어서 좋네요... 거지꼴로 가면 안빌려 줄거 같은데.. 여기는 안따져서 좋네요..,명품을싼값에직접얼굴대면하지않고빌릴수있어서좋네요거지꼴로가면안빌려줄거같은데여기는안따져서좋네요
74,아예안뜸 홈페이지도 안떠서 앱설치했는데 앱도 처음에만 보이다 회원가입하고 다시들어오니 안떠요.. 매번 이러는거면 이용권 구매 해도될지 심각하게 고민됩니다,아예안뜸홈페이지도안떠서앱설치했는데앱도처음에만보이다회원가입하고다시들어오니안떠요매번이러는거면이용권구매해도될지심각하게고민됩니다
75,앱이 정말 사용하기 불편해요. 느리고 앱 사용 중 다른 앱 갔다가 다시 클로젯쉐어로 오면 메인화면으로 초기화됩니다.,앱이정말사용하기불편해요느리고앱사용중다른앱갔다가다시클로젯쉐어로오면메인화면으로초기화됩니다
76,어플 너무 버벅거리고 느립니다 개선좀 해주세요,어플너무버벅거리고느립니다개선좀해주세요
77,앱 가입하고 결제 후 취소 하려는데 취소가 카톡과 고객센터로만 되네요. 취소가 어려워도 앱으로 안되는 건 처음이네요 다신 쓰고 싶지 않아요,앱가입하고결제후취소하려는데취소가카톡과고객센터로만되네요취소가어려워도앱으로안되는건처음이네요다신쓰고싶지않아요
78,옷도 사이즈별로 다양하게 없고.. 이쁜 옷 있으면 다 S이고.. M도 잘 없어요.. 있어도 대여중. 고객서비스도 부실.. 완전 비추합니다..,옷도사이즈별로다양하게없고이쁜옷있으면다S이고M도잘없어요있어도대여중고객서비스도부실완전비추합니다
79,66사이즈 의류만 따로 모아서 볼 수 있어서 좋았러료 브랜드도 많고 일상복부터 롱드레스까지 선택폭 넓어서 좋았네요 !,66사이즈의류만따로모아서볼수있어서좋았러료브랜드도많고일상복부터롱드레스까지선택폭넓어서좋았네요
80,좋은 옷들도 다양하게 많고 패션에 도움되는 글도 많은거 같아요 옷에 관심이 많으니 안좋을 수 밖에 없는 앱,좋은옷들도다양하게많고패션에도움되는글도많은거같아요옷에관심이많으니안좋을수밖에없는앱
81,앱 사용자인데요... 사이트에 들어가지질 않아서 삭제하고 다시 깔았는데도 여전히 마찬가지이네요 ㅠㅠ 댓글보니 며칠째 이 상황인 모양인데 사용자들에게 설명은 있어야하지 않나요???,앱사용자인데요사이트에들어가지질않아서삭제하고다시깔았는데도여전히마찬가지이네요ㅠㅠ댓글보니며칠째이상황인모양인데사용자들에게설명은있어야하지않나요
82,지하철 광고보구 가입해서 렌트 몆번했는데요 상태도 좋구 세탁하지 않고 반납해서 좋더라구요^^ 택배비 무료인건 비밀ㅋ..셰어? 해보니 대여나갈때마다 적립금이 매일 쌓이더라구요..좋은 시스템 인듯 합니다 전 만족해요..감사합니다 승승장구하세요^^,지하철광고보구가입해서렌트몆번했는데요상태도좋구세탁하지않고반납해서좋더라구요택배비무료인건비밀ㅋ셰어해보니대여나갈때마다적립금이매일쌓이더라구요좋은시스템인듯합니다전만족해요감사합니다승승장구하세요
83,빨리 환불해주세요 왜 50프로 쿠폰선택했는데 할인없이 결제가 되나요 1대1문의도 에러나고... 이메일 드렸으니 환불해주세요,빨리환불해주세요왜50프로쿠폰선택했는데할인없이결제가되나요1대1문의도에러나고이메일드렸으니환불해주세요
84,갑자기 마케팅동의 안하면 사용할수가 없게 팝업이 계속 뜨는데 너무 짜증나서 안쓰고 싶어졌어요,갑자기마케팅동의안하면사용할수가없게팝업이계속뜨는데너무짜증나서안쓰고싶어졌어요
85,처음으로 사용하려고 어플깔았는데 너무 느리고 렉걸리고이래서 시작도못하고 뭘 할수가없어요..,처음으로사용하려고어플깔았는데너무느리고렉걸리고이래서시작도못하고뭘할수가없어요
86,가입하니까 있는 아이디라 그러고 로그인 하려니까 존재하지 않는 아이디라고 나오는데 도대체 어떻게 해야 이용 가능하죠,가입하니까있는아이디라그러고로그인하려니까존재하지않는아이디라고나오는데도대체어떻게해야이용가능하죠
87,나만이런가..화면이..왜이래?...1시간째..어플 이상한거같은데..,나만이런가화면이왜이래1시간째어플이상한거같은데
88,업데이트 된 것 같은데 소셜로그인 기능이 아예 안먹습니다 계속 첫화면으로 돌아와요..피드백 부탁드립니다,업데이트된것같은데소셜로그인기능이아예안먹습니다계속첫화면으로돌아와요피드백부탁드립니다
89,세어 할때는 잘 생각하고 브렌드 있다고 내면 안되요. 외국 것은 잘 모르는 거 같고 뭘 기준으로 선별 하는지 불분명 해요. 조금 씩 보내는게 좋겠어요. 전 다시는 선택 안 합니다.,세어할때는잘생각하고브렌드있다고내면안되요외국것은잘모르는거같고뭘기준으로선별하는지불분명해요조금씩보내는게좋겠어요전다시는선택안합니다
90,어플 너무 느리고... 자꾸 튕깁니다,어플너무느리고자꾸튕깁니다
91,이용하기 편리하고 가격 부담이 있는 써볼수 있어서 좋아요~~,이용하기편리하고가격부담이있는써볼수있어서좋아요
92,너무 느려요 답답해요ㅠㅠㅠ 볼려고 해도 볼 수 가 없네요 해결해주세요,너무느려요답답해요ㅠㅠㅠ볼려고해도볼수가없네요해결해주세요
93,도대체 왜 자꾸 앱이 중지되는거죠? 지웠다 깔아도 그대로네요. 짜증..,도대체왜자꾸앱이중지되는거죠지웠다깔아도그대로네요짜증
94,404... 어떻게 로그인하자마자 404... 이게 유일한 매장이잖아요.... 오마이갓...,404어떻게로그인하자마자404이게유일한매장이잖아요오마이갓
95,"인스타 통해 설치, 가입후 접속이 안돼고있느니 원ㅡㅡ....",인스타통해설치가입후접속이안돼고있느니원ㅡㅡ
96,투자도 많이 받았다던데 옷도 별로 없고 ux도 어렵고 굉장히 난해한 서비스네요,투자도많이받았다던데옷도별로없고ux도어렵고굉장히난해한서비스네요
97,어플 사용하라고 만든거 맞나요? 속터지게 하려고 만든듯. 렉심해서 못써먹겠네요,어플사용하라고만든거맞나요속터지게하려고만든듯렉심해서못써먹겠네요
98,앱이 왤케 느려요 무료 개설 사이트도 이렇겐 안느릴듯,앱이왤케느려요무료개설사이트도이렇겐안느릴듯
99,페이지 넘어가는게 너무 느려요 ㅠ,페이지넘어가는게너무느려요ㅠ
100,어떻게 어플이 이렇게 며칠씩 안 열리나요~9,어떻게어플이이렇게며칠씩안열리나요9
101,app자체는넘좋은것같은데..일단..너무느려요ㅠ,app자체는넘좋은것같은데일단너무느려요ㅠ
102,너무 느리고 화면이 아예 안보여요. . . .,너무느리고화면이아예안보여요
103,알림설정에서 알림을 꺼도꺼도 다시 알림이 오고 확인해보면 다시 알림 설정이 켜있어요,알림설정에서알림을꺼도꺼도다시알림이오고확인해보면다시알림설정이켜있어요
104,아이디어는좋은데 어플이 느려서 답답해요,아이디어는좋은데어플이느려서답답해요
105,잘 사용하고 있습니다,잘사용하고있습니다
106,좋아용 포인트 적립되면 나중에 쓸수 있어서 너무 좋아용,좋아용포인트적립되면나중에쓸수있어서너무좋아용
107,너무 느려요 ....왜케 옷사진이 늦게 뜨는건가요 ???,너무느려요왜케옷사진이늦게뜨는건가요
108,옷을 대여하기 쉬운어플입니다,옷을대여하기쉬운어플입니다
109,제발 앱 속도개선 좀요!!!!!!!서비스 이용하고싶어도 앱 너무느려요,제발앱속도개선좀요서비스이용하고싶어도앱너무느려요
110,로그인이 안되요 ㅡㅡ 짜증나,로그인이안되요ㅡㅡ짜증나
111,예전보다 훨씬 부드러워져서 좋습니다!,예전보다훨씬부드러워져서좋습니다
112,아니 무슨?! 왜이렇게 옷브랜드가 여자한테 몰려있나요? 남자는 이용하면 안되나요? 카파 마하그리드 왜 이런 브랜드가 없죠????,아니무슨왜이렇게옷브랜드가여자한테몰려있나요남자는이용하면안되나요카파마하그리드왜이런브랜드가없죠
113,웹으로만 되다가 이제 앱나와서 훨씬 편하네요,웹으로만되다가이제앱나와서훨씬편하네요
114,옷장이 슬림해져서 좋아요,옷장이슬림해져서좋아요
115,관리가 아얘안되는듯하네요,관리가아얘안되는듯하네요
116,진짜 무슨 고객센터 번호도 없는 이런곳..선택한 내가 잘못이지,진짜무슨고객센터번호도없는이런곳선택한내가잘못이지
117,업데이트이후 앱이 안켜져요,업데이트이후앱이안켜져요
118,속도가 부모님안부물어보게함. 암걸려서 2점,속도가부모님안부물어보게함암걸려서2점
119,결혼식날 진짜 최고!!!!!!!!!너무너무너무너무 조아,결혼식날진짜최고너무너무너무너무조아
120,회원가입정보다쓰고 불편드려죄송하단 메세지창달랑~~,회원가입정보다쓰고불편드려죄송하단메세지창달랑
121,지금 어플이랑 사이트 둘 다 접속 안돼요 무슨 일 있나요??,지금어플이랑사이트둘다접속안돼요무슨일있나요
122,편리한 어플입니다,편리한어플입니다
123,남자친구폰으로 다운받고 잘보고있어요 마르지엘라 지방시 넣어주세요 아 그리구 구찌 마몬트 마틀라세 스몰도 넣어주세요,남자친구폰으로다운받고잘보고있어요마르지엘라지방시넣어주세요아그리구구찌마몬트마틀라세스몰도넣어주세요
124,남자옷은 없네요 ㅠ,남자옷은없네요ㅠ
125,유용한거같아요!,유용한거같아요
126,탈퇴하는 방법좀 알려주세요,탈퇴하는방법좀알려주세요
127,앱 편하고좋네요.,앱편하고좋네요
128,여성전용 대여플랫폼이네요.,여성전용대여플랫폼이네요
129,회원가입이 안되네요,회원가입이안되네요
130,어플 좋네요 ㅎㅎ,어플좋네요ㅎㅎ
131,진짜 좋아요,진짜좋아요
132,왜자꾸꺼지나요,왜자꾸꺼지나요
133,안켜짐,안켜짐
134,너무느림,너무느림
135,앱불편합니다,앱불편합니다
136,정말편하네요,정말편하네요
