,review,cleaning,noun
0,"우선 클로젯셰어 서비스에 대해서 굉장히 만족하고 있습니다. 마음에 드는 옷이 대여중인 경우가 더 많다는것은 아쉽지만, 사람 눈은 다 똑같으니까요..😢 앱 구현도 굉장히 잘 되는 편입니다. 속도도 빠르고 구현이 직관적이며 분류도 잘 되어있습니다. 다만 지금은 필요한 종류의 옷을 검색으로 찾을 만큼 분류가 세분화되진 않은것같아서, 아우터, 드레스, 상의, 하의보다 더 세분화된 카테고리가 있으면 더 좋을 것 같습니다.",우선클로젯셰어서비스에대해서굉장히만족하고있습니다마음에드는옷이대여중인경우가더많다는것은아쉽지만사람눈은다똑같으니까요앱구현도굉장히잘되는편입니다속도도빠르고구현이직관적이며분류도잘되어있습니다다만지금은필요한종류의옷을검색으로찾을만큼분류가세분화되진않은것같아서아우터드레스상의하의보다더세분화된카테고리가있으면더좋을것같습니다,"['셰어', '서비스', '대해', '마음', '에드', '여중', '경우', '사람', '구현', '편입', '속도', '구현', '직관', '분류', '금은', '종류', '검색', '분류', '세분', '아우', '드레스', '하의', '세분', '카테고리']"
1,"아이디어는 너무 괜찮으나 어플, CS 모두 엉망임 특히 고객센터 응대는 전부터 느꼈지만 메뉴얼이 없는 듯한 느낌. 현재 안드로이드 몇 기종에서 어플이 안열리는 상황이고, 이 상황이 며칠째 이어지고 있는데 공지 하나 없으며 카톡으로만 제공하는 고객센터에 문의하니 어플이 언제 재개 될 지는 모른다는 답 뿐.. 광고는 계속 오더만 오류에 대한 공지는 하나도 없고 현황도 고객센터 물어야만 알 수 있으며, 언제 해결될지는 아무도 모름ㅎㅎ 오류가 꽤 오래 계속 되고 있는데 이런 대처는 도저히 이해할 수 없음. 광고 전에 CS와 어플 개선에 대...
전체 리뷰",아이디어는너무괜찮으나어플CS모두엉망임특히고객센터응대는전부터느꼈지만메뉴얼이없는듯한느낌현재안드로이드몇기종에서어플이안열리는상황이고이상황이며칠째이어지고있는데공지하나없으며카톡으로만제공하는고객센터에문의하니어플이언제재개될지는모른다는답뿐광고는계속오더만오류에대한공지는하나도없고현황도고객센터물어야만알수있으며언제해결될지는아무도모름ㅎㅎ오류가꽤오래계속되고있는데이런대처는도저히이해할수없음광고전에CS와어플개선에대전체리뷰,"['아이디어', '어플', '엉망', '고객', '센터', '응대', '메뉴얼', '느낌', '현재', '안드로이드', '몇기종', '어플', '이안', '상황', '상황', '며칠', '카톡', '제공', '고객', '센터', '문의', '어플', '이언', '제재', '광고', '계속', '오류', '대한', '공지', '현황', '고객', '센터', '해결', '아무', '모름', '오류', '계속', '대처', '도저히', '이해', '광고', '어플', '개선', '전체', '리뷰']"
2,굉장히 느리고 멈추고 앱 구현이 잘 안됩니다 2년전에도 그랬는데 개선이 안됐네요 카테고리도 세분화가 필요하보이며 cs도 개선이 필요해보입니다..,굉장히느리고멈추고앱구현이잘안됩니다2년전에도그랬는데개선이안됐네요카테고리도세분화가필요하보이며cs도개선이필요해보입니다,"['구현', '개선']"
3,어플이 안열리네요. 내일 제 옷 수거해가는 날짜로 잡아놨는데 어떻게 진행되는지 확인도 못하게 생겼어요ㅜ 개선이 언제 될까요,어플이안열리네요내일제옷수거해가는날짜로잡아놨는데어떻게진행되는지확인도못하게생겼어요ㅜ개선이언제될까요,"['어플', '이안', '수거', '날짜', '진행', '확인', '개선']"
4,어플이 버거워서 그런지 버퍼가 되는경우가 있는데 서비스자체는 유용해서 자주 사용하고 있어요~^_^,어플이버거워서그런지버퍼가되는경우가있는데서비스자체는유용해서자주사용하고있어요,"['어플', '버퍼', '경우', '서비스', '자체', '자주', '사용']"
5,나만그런게아니엇네..어플안켜져요그적게부터...;;평소에도 페이지 넘어가는거넘 오래걸리고 편리한어플은아니엇는데 그냥 구독서비스땜에 쓰는거지,나만그런게아니엇네어플안켜져요그적게부터평소에도페이지넘어가는거넘오래걸리고편리한어플은아니엇는데그냥구독서비스땜에쓰는거지,"['엇네', '어플', '평소', '페이지', '어플', '그냥', '구독', '서비스']"
6,어플이 안열려요 대체 무슨일..? 빨리 해결해주세요.. 어플 키면 그냥 바로 꺼져요,어플이안열려요대체무슨일빨리해결해주세요어플키면그냥바로꺼져요,"['어플', '이안', '대체', '해결', '어플', '그냥']"
7,앱 자꾸 꺼짐. 걍 꺼짐. 다시 깔아도 꺼짐. 기본적인 오류 체크도 안함?,앱자꾸꺼짐걍꺼짐다시깔아도꺼짐기본적인오류체크도안함,"['자꾸', '기본', '오류', '체크', '안함']"
8,열리지 않아요...ㅠㅠ 지우고 다시 깔아도 마찬가지.,열리지않아요ㅠㅠ지우고다시깔아도마찬가지,"['리지', '마찬가지']"
9,앱 왜 뒤로가기만 눌러도 계속 꺼져요?,앱왜뒤로가기만눌러도계속꺼져요,"['앱왜뒤', '가기', '계속']"
10,제발 앱좀.. 수정보완을 하던지해주세요. 취지는 좋은데 매번 앱때문에 짜증남 ㅡㅡ,제발앱좀수정보완을하던지해주세요취지는좋은데매번앱때문에짜증남ㅡㅡ,"['제발', '앱좀', '수정', '보완', '취지', '때문']"
11,앱 종료오류빨리고쳐주세요,앱종료오류빨리고쳐주세요,"['종료', '오류']"
12,왜 켜졋다가도 꺼지는거죠..... 불안정항가요,왜켜졋다가도꺼지는거죠불안정항가요,"['왜켜졋', '다가', '불안', '정항', '가요']"
13,업데이트 이후 어플이 안켜집니다.,업데이트이후어플이안켜집니다,"['업데이트', '이후', '어플', '이안']"
14,저도 같은 증상이... 앱이 왜 정지된건가요?,저도같은증상이앱이왜정지된건가요,"['증상', '왜정', '가요']"
15,어플이너무오랬동안안되요ㅜㅜ,어플이너무오랬동안안되요ㅜㅜ,"['어플', '무오']"
16,"어플이 안켜져요,, 왜이러죠",어플이안켜져요왜이러죠,"['어플', '이안']"
17,앱자꾸꺼짐 해결이 당장필요하네요,앱자꾸꺼짐해결이당장필요하네요,"['자꾸', '해결']"
18,"사용할수록 실망스러운 서비스 1년 이상 사용 월정기과금 가입자입니다. 한달에 15만원씩 그리고 매달 최소 5만원이상 추가 결재합니다. 처음엔 좋은 브랜드도 많았고 고퀄 제품도 많았는데, 이제는 낡은 옷들과 비선호 브랜드 외에는 주문이 어렵습니다. 사용자 대비 제품이 없으니 주문 할 만한 제품이 없습니다. 프로모션은 신규 가입자를 위한 것일뿐 기존 충성 고객에 대한 혜택은 하나도 없습니다. 그나마 빌린옷은 사이즈가 개판이라 어떤건 작아 못입고 어떤건 커서 못입습니다. 많이 실망스럽습니다. 탈퇴할까 합니다.",사용할수록실망스러운서비스1년이상사용월정기과금가입자입니다한달에15만원씩그리고매달최소5만원이상추가결재합니다처음엔좋은브랜드도많았고고퀄제품도많았는데이제는낡은옷들과비선호브랜드외에는주문이어렵습니다사용자대비제품이없으니주문할만한제품이없습니다프로모션은신규가입자를위한것일뿐기존충성고객에대한혜택은하나도없습니다그나마빌린옷은사이즈가개판이라어떤건작아못입고어떤건커서못입습니다많이실망스럽습니다탈퇴할까합니다,"['사용', '실망', '서비스']"
19,"특별한 날 특별한 옷 입고 싶을 때, 사기에는 조금 부담스러운 옷이나 가방을 입어보고 싶을 때 정말 좋아요. 사진 후기도 많은 편이라 렌트할때도 도움되고 무엇보다 예쁜 옷들이 많아 좋네요. 앞으로도 자주 이용할 계획입니다 :)",특별한날특별한옷입고싶을때사기에는조금부담스러운옷이나가방을입어보고싶을때정말좋아요사진후기도많은편이라렌트할때도도움되고무엇보다예쁜옷들이많아좋네요앞으로도자주이용할계획입니다,"['사기', '가방', '정말', '사진', '후기', '편이', '렌트', '도움', '자주', '계획']"
20,앱이 그냥 안 열려요...,앱이그냥안열려요,[]
21,어플이 계속 꺼져요 테스트도 안하고 릴리즈부터 막 하나요?,어플이계속꺼져요테스트도안하고릴리즈부터막하나요,"['어플', '계속', '테스트', '도안', '릴리']"
22,서비스 의도는 너무 좋음. 환경오염도 막고 좋다이거임. 그러나 앱 속도 진짜 속터져서 옷을 고를 수가 없음. 컴퓨터로 보는 것 추천. 그리고 자동결제 해지 버튼이 없음?! 상담원과 연결해야 해지 할 수 있는 정신나간 시스템임. 자동 결제 전이라 해지하러들어갔더니 해지버튼도 없고 f&a 뒤지고 뒤져 찾아낸 답변이 상담원한테 이야기해야 해지 가능하다함. 그것도 종료 3일 전에ㅋㅋㅋ 이런거 처음 봄. 지금 주말이라 해지도 안됨ㅋㅋ 조심하세요 다들..가입은 쉽지만 해지는 니맘대로 안된단다? 뭐 이런 사이트가..,서비스의도는너무좋음환경오염도막고좋다이거임그러나앱속도진짜속터져서옷을고를수가없음컴퓨터로보는것추천그리고자동결제해지버튼이없음상담원과연결해야해지할수있는정신나간시스템임자동결제전이라해지하러들어갔더니해지버튼도없고fa뒤지고뒤져찾아낸답변이상담원한테이야기해야해지가능하다함그것도종료3일전에ㅋㅋㅋ이런거처음봄지금주말이라해지도안됨ㅋㅋ조심하세요다들가입은쉽지만해지는니맘대로안된단다뭐이런사이트가,"['서비스', '의도', '환경오염', '도막', '속도', '진짜', '컴퓨터', '추천', '동결', '제해', '버튼', '상담', '해지', '정신', '시스템', '임자', '동결', '제전', '해지', '해지', '버튼', '답변', '상담', '이야기', '해지', '그것', '종료', '처음', '지금', '주말', '해지', '가입', '해지', '사이트']"
23,"시스템은 정말좋습니다. 옷사이즈 오기, 옷상태점검 등 실망한적도 있었지만 70프로정도는 정말 만족하며 잘 사용했어요. 앱환경도 가끔버벅거려서 불편했어요. 하지만 이모든걸 감안하고도 공유옷장의 장점과 발전가능성이 무궁무진하기에 계속사용할의향은있어요. 제발 이맘 변치않도록 고객의 목소리에 귀길울여 주시기부탁드려요!",시스템은정말좋습니다옷사이즈오기옷상태점검등실망한적도있었지만70프로정도는정말만족하며잘사용했어요앱환경도가끔버벅거려서불편했어요하지만이모든걸감안하고도공유옷장의장점과발전가능성이무궁무진하기에계속사용할의향은있어요제발이맘변치않도록고객의목소리에귀길울여주시기부탁드려요,"['시스템', '정말', '오기', '상태', '점검', '프로', '정도', '정말', '사용', '환경', '가끔', '버벅거려', '이모', '감안', '공유', '옷장', '장점', '발전', '가능성', '무궁무진', '계속', '사용', '의향', '제발', '이맘', '고객', '목소리']"
24,첫이용 결과 대만족입니다. 세탁상태도 좋구요 쇼핑몰에서 옷사면 재고들어와야 배송보내고ㅜ 바로바로안와서 미리 주문해도 원했던 날에 못받아 주문취소랑 반품을 하는일이많은데ㅠ 여긴 재고가 있는 제품만 주문할수있어서 엄청 빨리와요! 그리고 매일 새로운 제품이 올라오니까 매일매일 보게돼요!! 대여서비스가 너무좋고 배송받은 제품들이 관리가 잘되어있어서 저도 안입는 옷들이 있는데 조만간 셰어링 신청하려고요 번창하세요~!,첫이용결과대만족입니다세탁상태도좋구요쇼핑몰에서옷사면재고들어와야배송보내고ㅜ바로바로안와서미리주문해도원했던날에못받아주문취소랑반품을하는일이많은데ㅠ여긴재고가있는제품만주문할수있어서엄청빨리와요그리고매일새로운제품이올라오니까매일매일보게돼요대여서비스가너무좋고배송받은제품들이관리가잘되어있어서저도안입는옷들이있는데조만간셰어링신청하려고요번창하세요,"['이용', '결과', '만족', '세탁', '상태', '쇼핑몰', '사면', '재고', '배송', '미리', '문해', '주문', '취소', '반품', '일이', '제품', '주문', '매일', '제품', '매일', '매일', '대여', '서비스', '배송', '제품', '관리', '도안', '조만간', '셰어', '신청', '번창']"
25,"비욘드클로젯 정말 좋은데, 진짜 어플 속도ㅠㅠㅠㅠ 답답해서 울어요ㅠㅠㅠㅠㅠㅠ 어플개선 너무나도 시급합니다.... 정말정말정말루요......... 그리고 마음에 드는 옷 보고 좋아요해놓고 뒤로가기하면 다시 처음부터 봐야하는건 무슨의미인지................. 좋아서 별 4개 해놓지만 어플개선 안하면 1로 내릴래요...",비욘드클로젯정말좋은데진짜어플속도ㅠㅠㅠㅠ답답해서울어요ㅠㅠㅠㅠㅠㅠ어플개선너무나도시급합니다정말정말정말루요그리고마음에드는옷보고좋아요해놓고뒤로가기하면다시처음부터봐야하는건무슨의미인지좋아서별4개해놓지만어플개선안하면1로내릴래요,"['비욘드', '정말', '진짜', '어플', '속도', '어플', '개선', '마음', '에드', '보고', '가기', '다시', '처음', '의미', '어플']"
26,결혼식에 입을 마땅한 옷이 없어서 몇번 입지도 않을텐데... 비싼돈 주고 사느니 한번 빌려입어 볼까?하고 질러봤어요. 제가 렌트한옷은 상태가 모두 좋았어요. 착한가격에 신랑이랑 사이좋게 차려입고 갔더니 다들 비싼옷 사입은줄 알더라구요ㅋㅋ 뿌듯 신랑은 소매가 길어서 조금 아쉬웠어요. 사이즈실패 ㅠ 렌트하실때 본인 사이즈체크는 필수입니당. ^^ 남성복도 많아졌음 좋겠어요. 예쁘고 멋진옷 입혀주고 센스있는 와이프소리 듣고 싶어요. ^^ 좋은서비스를 제공해주셔서 감사합니다. ^^,결혼식에입을마땅한옷이없어서몇번입지도않을텐데비싼돈주고사느니한번빌려입어볼까하고질러봤어요제가렌트한옷은상태가모두좋았어요착한가격에신랑이랑사이좋게차려입고갔더니다들비싼옷사입은줄알더라구요ㅋㅋ뿌듯신랑은소매가길어서조금아쉬웠어요사이즈실패ㅠ렌트하실때본인사이즈체크는필수입니당남성복도많아졌음좋겠어요예쁘고멋진옷입혀주고센스있는와이프소리듣고싶어요좋은서비스를제공해주셔서감사합니다,"['결혼식', '몇번', '입지', '한번', '렌트', '상태', '가모', '가격', '신랑', '옷사', '알더', '뿌듯', '신랑', '소매', '사이즈', '실패', '렌트', '본인', '체크', '필수', '남성', '복도', '센스', '와이프', '소리', '서비스', '제공']"
27,"서비스마인드 빵점인 회사 기대하면서 옷을 골랐는데 사진빨과 화면빨에 속지말자, 몇 날 며칠 고민한 시간이 아까울정도로 옷이 낡고 못입을 수준. 게다가 약속날 입어야하는데 택배도 늦게오는바람에 결국 약속망함.근데 나중에 옷상태보니 왔어도 못입었을 수준. 자기네들이 잘못해놓고 사과조차없고 변명만 하기 바쁜업체수준. 리뷰 보고 결제할걸...돈아까움 ㅠ",서비스마인드빵점인회사기대하면서옷을골랐는데사진빨과화면빨에속지말자몇날며칠고민한시간이아까울정도로옷이낡고못입을수준게다가약속날입어야하는데택배도늦게오는바람에결국약속망함근데나중에옷상태보니왔어도못입었을수준자기네들이잘못해놓고사과조차없고변명만하기바쁜업체수준리뷰보고결제할걸돈아까움ㅠ,"['서비스', '마인드', '빵점', '회사', '사진빨', '화면', '속지', '몇날', '며칠', '고민', '정도', '수준', '약속', '택배', '바람', '약속', '나중', '태보', '수준', '잘못', '사과', '변명', '업체', '수준', '리뷰', '보고', '결제', '걸돈']"
28,클로짓셰어에 대한 시스템이나 가격 다 맘에듭니다. 근데 어플 성능이 넘 구려요 진짜 느리고 리뷰 많이쓰려고 해도 자꾸 오류나서 열받아요,클로짓셰어에대한시스템이나가격다맘에듭니다근데어플성능이넘구려요진짜느리고리뷰많이쓰려고해도자꾸오류나서열받아요,"['셰어', '대한', '시스템', '가격', '어플', '성능', '진짜', '리뷰', '고해', '자꾸', '오류', '서열']"
29,항상 잘 애용하고 있습니다. 명품부터 디자이너브랜드까지... 데일리룩 특별한 날에 입을 수 있는 다양한 옷 백 등이 있어요 옷 구매하는 것보다 이득! 추천해요 :),항상잘애용하고있습니다명품부터디자이너브랜드까지데일리룩특별한날에입을수있는다양한옷백등이있어요옷구매하는것보다이득추천해요,"['항상', '애용', '명품', '디자이너', '브랜드', '일리', '구매', '이득', '추천']"
30,사실 옷의상태와 청결이 가장걱정되었는데 세탁도 너무 잘되서 새옷같아요~!예쁜옷이 많아 고민이 되네요 평소 사기는 좀 그렇고 입어보고싶었던 옷을 마음대로 입을수있어 넘 좋음~! 진짜 찐추천합니다~~!!,사실옷의상태와청결이가장걱정되었는데세탁도너무잘되서새옷같아요예쁜옷이많아고민이되네요평소사기는좀그렇고입어보고싶었던옷을마음대로입을수있어넘좋음진짜찐추천합니다,"['사실', '상태', '청결', '가장', '걱정', '세탁', '새옷', '고민', '평소', '사기', '진짜', '추천']"
31,평소에 들고 싶었던 가방들이 많이 있어서 신나게 이용하고 있어요 빠른 배송과 택배 포장도 꼼꼼하게 잘 되어있어서 안심하고 이용할수 있습니다 중고판매 되는 상품들도 상태가 좋아서 맘에 드는거 저렴하게 구매 가능한것도 좋은거 같아요,평소에들고싶었던가방들이많이있어서신나게이용하고있어요빠른배송과택배포장도꼼꼼하게잘되어있어서안심하고이용할수있습니다중고판매되는상품들도상태가좋아서맘에드는거저렴하게구매가능한것도좋은거같아요,"['평소', '가방', '배송', '택배', '포장', '안심', '이용', '중고', '판매', '상품', '상태', '에드', '구매']"
32,1년 넘게 클로젯셰어 사용하는 여자친구가 부러워서 남성복은 언제 나오나 문의를 하기도 했지만 드디어 남성복도 대여 서비스 시작하고 잘 사용하고 있습니다. 👍👍👍 약속을 지켜주셔서 감사합니다^^ 저도 바로 빌려서 사용해보니 옷상태도 거의 새옷이 오고 배송도 빨라서 당일 배송이라니.. 그치만 지방은 택배배송으로!! 공유의 트렌드에 맞게 저도 환경보호에 동참하면서 매일매일 새로운 옷으로 교환하면서 잘사용하고 있습니다. 클로젯셰어 이 서비스 제발 제발 오래오래 가길!! 전 개인적으로 적극적으로 추천합니다♥ 클로젯셰어 알라뷰,1년넘게클로젯셰어사용하는여자친구가부러워서남성복은언제나오나문의를하기도했지만드디어남성복도대여서비스시작하고잘사용하고있습니다약속을지켜주셔서감사합니다저도바로빌려서사용해보니옷상태도거의새옷이오고배송도빨라서당일배송이라니그치만지방은택배배송으로공유의트렌드에맞게저도환경보호에동참하면서매일매일새로운옷으로교환하면서잘사용하고있습니다클로젯셰어이서비스제발제발오래오래가길전개인적으로적극적으로추천합니다클로젯셰어알라뷰,[]
33,"계절마다 옷을 사고, 버리면서 '이건 아니다' 생각했습니다. 환경을 지키위해 시작했는데 예상했던 것 보다 훨씬 고퀄의 브랜드, 다양한 스타일의 옷들이 있어 제 스타일링의 스펙트럼을 넓혀주고 있어요!! 환경에 부담을 주지 않고도 매일 다양한 스타일링을 시도할 수 있다니, 두 마리 토끼를 잡은 느낌🌈💜💜💜",계절마다옷을사고버리면서이건아니다생각했습니다환경을지키위해시작했는데예상했던것보다훨씬고퀄의브랜드다양한스타일의옷들이있어제스타일링의스펙트럼을넓혀주고있어요환경에부담을주지않고도매일다양한스타일링을시도할수있다니두마리토끼를잡은느낌,"['계절', '사고', '이건', '생각', '환경', '위해', '시작', '예상', '고퀄', '브랜드', '스타일', '스타', '일링', '스펙트럼', '환경', '부담', '주지', '매일', '스타', '일링', '시도', '마리', '토끼', '느낌']"
34,가방진짜 좋아하는데 저렴한 가격에 이쁜가방들을 렌트할 수 있어서 너무너무 행복해요.ㅠㅠ 가방한개 사려면 가격이 어마어마 하잖아요.ㅠ 좋은서비스 앞으로도 계속 쭈~욱 부탁해요.^^,가방진짜좋아하는데저렴한가격에이쁜가방들을렌트할수있어서너무너무행복해요ㅠㅠ가방한개사려면가격이어마어마하잖아요ㅠ좋은서비스앞으로도계속쭈욱부탁해요,"['가방', '진짜', '가격', '가방', '렌트', '가방', '사려', '가격', '서비스', '계속', '쭈욱', '부탁']"
35,어플 자체는 신선하고 정말 좋아요 그런데 앱 속도가 너무 너무 너어어무 느리고 버그도 많아서 이 모든 장점들을 덮게 돼요.. 속도만 개선된다면 별 다섯개도 적은 앱이에요,어플자체는신선하고정말좋아요그런데앱속도가너무너무너어어무느리고버그도많아서이모든장점들을덮게돼요속도만개선된다면별다섯개도적은앱이에요,"['어플', '자체', '정말', '속도', '어어', '버그', '모든', '장점', '속도', '개선', '개도']"
36,다양한 스타일을 고를수있고~ 명품까지 입을수있어서 넘 좋아요~ 특히 한두번만 입게 되는 행사나 이벤트의상은 진짜 넘 유용하네용^^ 자주 이용할어플입니당ㅎㅎ,다양한스타일을고를수있고명품까지입을수있어서넘좋아요특히한두번만입게되는행사나이벤트의상은진짜넘유용하네용자주이용할어플입니당ㅎㅎ,"['스타일', '명품', '번만', '행사', '이벤트', '의상', '진짜', '어플']"
37,처음 설치해서 사용했을 때보다 속도가 많이 개선되어 이제서야 리뷰를 남깁니다. 앞으로도 고객들과 소통하며 언택트 시대에 걸맞게 멋진 서비스로 더욱 발전하기를 기대할게요. 고맙습니다. :D,처음설치해서사용했을때보다속도가많이개선되어이제서야리뷰를남깁니다앞으로도고객들과소통하며언택트시대에걸맞게멋진서비스로더욱발전하기를기대할게요고맙습니다D,"['처음', '설치', '속도', '개선', '이제', '리뷰', '고객', '소통', '서비스', '더욱', '발전']"
38,플레이스토어 앱중에 최초로 답답해서 앱지웠습니다ㅋㅋㅋㅋ 앱이 뭐 이렇게 버그도 심하고 느리고 그냥 대충 만드신건가? 이런 생각까지 들어버리네요^^ 완전 소중한경험 감사합니다ㅋㅋㅋ이런 답답한 앱은 처음입니다ㅋ,플레이스토어앱중에최초로답답해서앱지웠습니다ㅋㅋㅋㅋ앱이뭐이렇게버그도심하고느리고그냥대충만드신건가이런생각까지들어버리네요완전소중한경험감사합니다ㅋㅋㅋ이런답답한앱은처음입니다ㅋ,"['플레이스토어', '최초', '버그', '도심', '대충', '건가', '생각', '완전', '경험', '처음']"
39,"중요한 날에 한번 입을 옷,가방 대여하려고 설치했는데 일상생활에서 입어보고 싶었던 옷들 뿐만 아니라 파티스타일,웨딩스타일 등 평소에 접하기 힘든 옷들도 대여할 수 있어서 좋아요 잘 쓰고 있어요ㅎㅎ",중요한날에한번입을옷가방대여하려고설치했는데일상생활에서입어보고싶었던옷들뿐만아니라파티스타일웨딩스타일등평소에접하기힘든옷들도대여할수있어서좋아요잘쓰고있어요ㅎㅎ,"['한번', '가방', '설치', '일상생활', '파티', '스타일', '웨딩', '스타', '일등', '평소', '대여']"
40,여러가입자들이 지적했듯 느려도 너무느림 이런앱정말 첨봄 실력이 이것밖에 안되나여~ 그래도 세번이용했어요 콘텐츠가 좋음 뭐함? 써비스가 엉망 너무불편해요,여러가입자들이지적했듯느려도너무느림이런앱정말첨봄실력이이것밖에안되나여그래도세번이용했어요콘텐츠가좋음뭐함써비스가엉망너무불편해요,"['가입자', '지적', '정말', '실력', '세번', '콘텐츠', '뭐함', '써비', '엉망']"
41,몇 안되는 예쁘고 평상시에도 입을만한 옷들은 재빠르게 대여돼서 계절 다 지나야 반납됨,몇안되는예쁘고평상시에도입을만한옷들은재빠르게대여돼서계절다지나야반납됨,"['평상시', '대여', '계절', '반납']"
42,앱 평가하기라서 별하나 줬습니다. 서비스 자체는 괜찮으나 앱은 정말 똥이예요 ㅠ.ㅠ,앱평가하기라서별하나줬습니다서비스자체는괜찮으나앱은정말똥이예요ㅠㅠ,"['평가', '별하나', '서비스', '자체', '은정', '말똥']"
43,협찬받았으나 솔직한 리뷰) 아이디어 자체는 굉장히 좋은데 운영하시는 분들이 의류에 대한 지식이 좀 부족한 것 같다.,협찬받았으나솔직한리뷰아이디어자체는굉장히좋은데운영하시는분들이의류에대한지식이좀부족한것같다,"['협찬', '리뷰', '아이디어', '자체', '운영', '의류', '한지']"
44,셰어링신청 해보려고 다운받았습니다. 다행히? 신청한 가방이 통과되고 보상가격도 나왔어요. 중고로 판매하려고 했던 것보다 높게 책정되서 기분좋네요ㅋㅋ빌려도 봐야겠네요!,셰어링신청해보려고다운받았습니다다행히신청한가방이통과되고보상가격도나왔어요중고로판매하려고했던것보다높게책정되서기분좋네요ㅋㅋ빌려도봐야겠네요,"['셰어', '신청', '신청', '가방', '통과', '보상', '가격', '중고', '판매', '려고', '책정', '기분']"
45,"어플 팝업이 뜰때 오늘 그만보기를 아무리 눌러도 계속 뜸... 빌린옷 리뷰작성할때 가끔 사진첨부가 안될때가 있음. 1대1 상담기능이 언젠가부터 안됨. 그래도 어플자체의 불편함만 감수하면 옷 빌리기엔 꽤 괜찮은 곳이지만, 쉐어링하기는 굉장히 불편함. 물건 가져갈땐 빠르게 가져가는데 보낸 뒤부터 업데이트 완료까지 3주~1달쯤 기다리는건 예사다 싶을정도. 쉐어링 신청에서 반려된 제품도 돌려준다더니 지금 1달가까이 기다리고 있는데 또! 아무소식이 없다. 누가 갖다 입다가 여름끝나면 돌려주는건가..ㅎ.... 쉐어러 입장에선 그냥 쉐어링해놓고...
전체 리뷰",어플팝업이뜰때오늘그만보기를아무리눌러도계속뜸빌린옷리뷰작성할때가끔사진첨부가안될때가있음1대1상담기능이언젠가부터안됨그래도어플자체의불편함만감수하면옷빌리기엔꽤괜찮은곳이지만쉐어링하기는굉장히불편함물건가져갈땐빠르게가져가는데보낸뒤부터업데이트완료까지3주1달쯤기다리는건예사다싶을정도쉐어링신청에서반려된제품도돌려준다더니지금1달가까이기다리고있는데또아무소식이없다누가갖다입다가여름끝나면돌려주는건가ㅎ쉐어러입장에선그냥쉐어링해놓고전체리뷰,"['어플', '팝업', '뜰때', '오늘', '보기', '계속', '리뷰', '작성', '가끔', '사진', '첨부', '상담', '기능', '어플', '자체', '감수', '쉐어', '물건', '업데이트', '완료', '예사', '정도', '쉐어', '신청', '반려', '제품', '지금', '가까이', '무소식', '누가', '입다', '여름', '건가', '쉐어', '입장', '쉐어', '전체', '리뷰']"
